Symbol,Screener
NAUKRI,https://scanx.trade/company/naukri-info-edge-ltd
NBCC,https://scanx.trade/company/nbcc-ltd
NESTLEIND,https://scanx.trade/company/nestle-india-ltd
NHPC,https://scanx.trade/company/nhpc-ltd
NMDC,https://scanx.trade/company/nmdc-ltd
NTPC,https://scanx.trade/company/ntpc-ltd
NYKAA,https://scanx.trade/company/nykaa-ltd
OBEROIRLTY,https://scanx.trade/company/oberoi-realty-ltd
OFSS,https://scanx.trade/company/oracle-financial-services-software-ltd
OIL,https://scanx.trade/company/oil-india-ltd
ONGC,https://scanx.trade/company/oil-natural-gas-corporation-ltd
PAGEIND,https://scanx.trade/company/page-industries-ltd
PATANJALI,https://scanx.trade/company/ruchi-soya-industries-ltd
PAYTM,https://scanx.trade/company/paytm-ltd
PERSISTENT,https://scanx.trade/company/persistent-systems-ltd
PETRONET,https://scanx.trade/company/petronet-lng-ltd
PFC,https://scanx.trade/company/power-finance-corporation-ltd
PGEL,https://scanx.trade/company/pg-electroplast-ltd
PHOENIXLTD,https://scanx.trade/company/phoenix-mills-ltd
PIDILITIND,https://scanx.trade/company/pidilite-industries-ltd
PIIND,https://scanx.trade/company/pi-industries-ltd
PNB,https://scanx.trade/company/punjab-national-bank-ltd
PNBHOUSING,https://scanx.trade/company/pnb-housing-finance-ltd
POLICYBZR,https://scanx.trade/company/policy-bazaar-ltd
POLYCAB,https://scanx.trade/company/polycab-india-ltd
POWERGRID,https://scanx.trade/company/power-grid-corporation-of-india-ltd
POWERINDIA,https://scanx.trade/company/abb-power-products-systems-ltd
PREMIERENE,https://scanx.trade/company/premier-energies-ltd
PRESTIGE,https://scanx.trade/company/prestige-estate-ltd
RADICO,https://scanx.trade/company/radico-khaitan-ltd
RBLBANK,https://scanx.trade/company/rbl-bank-ltd
RECLTD,https://scanx.trade/company/rural-electrification-corporation-ltd
RELIANCE,https://scanx.trade/company/reliance-industries-ltd
RVNL,https://scanx.trade/company/rail-vikas-nigam-ltd
SAIL,https://scanx.trade/company/steel-authority-of-india-ltd
SBICARD,https://scanx.trade/company/sbi-cards-ltd
SBILIFE,https://scanx.trade/company/sbi-life-insurance-ltd
SBIN,https://scanx.trade/company/state-bank-of-india-ltd
SHREECEM,https://scanx.trade/company/shree-cement-ltd
SHRIRAMFIN,https://scanx.trade/company/shriram-transport-finance-company-ltd
SIEMENS,https://scanx.trade/company/siemens-ltd
SOLARINDS,https://scanx.trade/company/solar-industries-ltd
